city,cloudiness,Country,date,humid,lat,lng,max_temp,wind_speed
norman wells,20,CA,03/16/2020,78,65.28,-126.83,12.2,20.8
srednekolymsk,10,RU,03/16/2020,86,67.45,153.68,-2.97,4.03
capao bonito,0,BR,03/16/2020,88,-24.01,-48.35,66.88,0.27
pathein,67,MM,03/16/2020,56,16.78,94.73,84.72,6.8
saldanha,99,ZA,03/16/2020,56,-33.01,17.94,68.0,9.17
tiarei,40,PF,03/16/2020,66,-17.53,-149.33,86.0,8.05
airai,97,TL,03/16/2020,58,-8.93,125.41,80.28,5.86
neuquen,0,AR,03/16/2020,32,-38.95,-68.06,69.8,8.05
formosa,33,AR,03/16/2020,83,-26.18,-58.18,77.0,4.7
ola,100,RU,03/16/2020,61,59.58,151.28,16.47,7.38
gravdal,40,NO,03/16/2020,58,68.12,13.5,28.4,12.75
geraldton,95,AU,03/16/2020,57,-28.77,114.6,78.8,11.41
shebalino,100,RU,03/16/2020,48,51.29,85.68,40.41,9.4
lagoa,0,PT,03/16/2020,75,39.05,-27.98,60.76,14.0
chokurdakh,0,RU,03/16/2020,87,70.63,147.92,-9.85,5.7
flinders,75,AU,03/16/2020,72,-34.58,150.86,70.0,12.75
ucluelet,0,CA,03/16/2020,76,48.93,-125.55,37.0,2.13
karratha,0,AU,03/16/2020,70,-20.74,116.85,86.41,8.21
paita,100,PE,03/16/2020,54,-5.09,-81.11,81.64,5.37
chokwe,19,MZ,03/16/2020,92,-24.53,32.98,73.53,7.02
ciudad bolivar,0,VE,03/16/2020,70,8.12,-63.55,78.84,12.95
salinopolis,100,BR,03/16/2020,87,-0.61,-47.36,77.83,4.12
shuangcheng,0,CN,03/16/2020,50,45.35,126.28,28.4,15.66
morehead,90,US,03/16/2020,78,37.27,-87.18,42.01,4.7
iquique,0,CL,03/16/2020,64,-20.22,-70.14,71.6,8.05
saint george,1,US,03/16/2020,66,37.1,-113.58,57.99,8.05
kloulklubed,75,PW,03/16/2020,70,7.04,134.26,86.0,13.87
tadine,96,NC,03/16/2020,66,-21.55,167.88,85.28,10.25
ancud,1,CL,03/16/2020,93,-41.87,-73.82,50.0,2.24
viedma,0,AR,03/16/2020,48,-40.81,-63.0,62.08,16.13
hawkesbury,5,CA,03/16/2020,44,45.6,-74.62,26.01,7.11
yasothon,91,TH,03/16/2020,62,15.75,104.13,91.0,6.93
torbay,20,CA,03/16/2020,73,47.67,-52.73,26.01,9.17
san ignacio,1,BZ,03/16/2020,83,17.16,-89.07,73.4,4.7
yerbogachen,100,RU,03/16/2020,93,61.28,108.01,31.19,14.45
eaglesfield,83,GB,03/16/2020,95,54.64,-3.4,42.01,1.99
batagay,89,RU,03/16/2020,79,67.63,134.63,-5.44,4.92
spornoye,4,RU,03/16/2020,85,50.84,37.29,21.2,8.95
sartana,0,UA,03/16/2020,56,47.17,37.7,32.59,12.37
faya,16,SA,03/16/2020,93,18.39,42.45,55.4,3.53
takanabe,20,JP,03/16/2020,27,32.13,131.5,53.6,9.17
kharan,4,PK,03/16/2020,27,28.58,65.42,64.31,3.4
ostrovnoy,100,RU,03/16/2020,95,68.05,39.51,24.62,7.56
katsuura,75,JP,03/16/2020,28,35.13,140.3,57.2,26.4
isangel,90,VU,03/16/2020,79,-19.55,169.27,87.8,20.8
sandwick,9,GB,03/16/2020,69,60.0,-1.25,39.2,8.05
turan,40,VN,03/16/2020,69,16.07,108.22,82.4,5.82
conceicao do araguaia,100,BR,03/16/2020,99,-8.26,-49.26,71.11,2.53
narrabri,40,AU,03/16/2020,41,-30.32,149.78,78.8,16.11
teguldet,100,RU,03/16/2020,87,57.31,88.17,36.54,15.05
doume,50,CM,03/16/2020,45,4.23,13.45,68.67,2.06
kapustin yar,87,RU,03/16/2020,48,48.58,45.74,29.19,9.6
abu kamal,89,SY,03/16/2020,69,34.45,40.92,58.37,4.41
yulara,0,AU,03/16/2020,8,-25.24,130.99,89.6,9.17
inta,100,RU,03/16/2020,71,66.03,60.17,12.2,20.02
khabary,100,RU,03/16/2020,91,53.63,79.53,33.46,18.01
haapiti,40,PF,03/16/2020,66,-17.57,-149.87,86.0,8.05
rio grande,90,BR,03/16/2020,100,-32.03,-52.1,68.0,11.63
lata,40,PT,03/16/2020,75,40.16,-8.33,50.0,4.7
anadyr,100,RU,03/16/2020,85,64.75,177.48,23.0,13.42
tambopata,100,PE,03/16/2020,89,-12.73,-69.18,76.53,1.3
mareeba,57,AU,03/16/2020,46,-17.0,145.43,89.6,10.29
lang son,100,VN,03/16/2020,89,21.83,106.73,68.54,0.96
metro,65,ID,03/16/2020,92,-5.11,105.31,78.37,3.94
ariquemes,100,BR,03/16/2020,99,-9.91,-63.04,73.02,2.51
balabac,0,PH,03/16/2020,65,7.99,117.06,84.78,13.98
carutapera,100,BR,03/16/2020,85,-1.2,-46.02,78.42,8.68
kahului,40,US,03/16/2020,78,20.89,-156.47,77.0,18.28
pisco,40,PE,03/16/2020,83,-13.7,-76.22,73.4,5.82
mahina,40,PF,03/16/2020,66,-17.51,-149.49,86.0,8.05
yelizovo,90,RU,03/16/2020,100,53.19,158.38,35.6,15.66
sao filipe,14,CV,03/16/2020,72,14.9,-24.5,70.61,20.02
omsukchan,100,RU,03/16/2020,93,62.53,155.8,4.82,8.05
salym,100,RU,03/16/2020,86,60.06,71.48,18.37,15.23
longyearbyen,90,SJ,03/16/2020,77,78.22,15.64,-0.4,9.17
vijapur,20,IN,03/16/2020,33,23.57,72.75,73.4,10.29
shingu,75,JP,03/16/2020,46,33.73,135.98,48.2,20.8
kitaibaraki,75,JP,03/16/2020,100,36.78,140.75,51.01,14.99
coquimbo,90,CL,03/16/2020,87,-29.95,-71.34,60.8,4.47
gasa,12,PS,03/16/2020,82,31.5,34.47,57.2,3.36
nanakuli,1,US,03/16/2020,88,21.39,-158.15,78.8,6.93
aleksandrovskiy zavod,100,RU,03/16/2020,89,50.92,117.94,25.45,6.49
ilulissat,93,GL,03/16/2020,47,69.22,-51.1,-9.4,12.75
kaeo,100,NZ,03/16/2020,78,-35.1,173.78,66.99,3.0
santa maria,75,BR,03/16/2020,94,-29.68,-53.81,71.6,6.93
coihaique,90,CL,03/16/2020,76,-45.58,-72.07,55.4,4.7
mananjary,1,MG,03/16/2020,87,-21.22,48.33,74.55,8.55
novaya zaimka,9,RU,03/16/2020,94,56.49,66.92,25.09,7.74
la ronge,5,CA,03/16/2020,61,55.1,-105.28,12.2,8.05
chipinge,88,ZW,03/16/2020,90,-20.19,32.62,64.04,4.36
quetta,13,PK,03/16/2020,54,30.2,67.01,47.55,3.22
ponca city,90,US,03/16/2020,87,36.71,-97.09,44.6,11.41
tutoia,100,BR,03/16/2020,97,-2.76,-42.27,74.55,3.83
skibbereen,0,IE,03/16/2020,72,51.55,-9.27,35.6,2.24
port augusta,72,AU,03/16/2020,32,-32.5,137.77,84.99,11.41
dwarka,100,IN,03/16/2020,50,22.24,68.97,75.31,21.43
aktau,90,KZ,03/16/2020,64,43.65,51.2,44.6,11.18
bulgan,94,MN,03/16/2020,67,48.81,103.53,32.34,6.22
kita,100,ML,03/16/2020,17,13.03,-9.49,73.67,1.86
wuan,96,CN,03/16/2020,36,31.68,112.0,67.01,1.72
tura,40,IN,03/16/2020,41,25.52,90.22,80.4,3.2
le port,100,RE,03/16/2020,69,-20.94,55.29,80.6,3.36
srivardhan,0,IN,03/16/2020,39,18.03,73.02,81.52,4.63
flin flon,100,CA,03/16/2020,92,54.77,-101.86,15.64,10.51
corrales,1,US,03/16/2020,40,35.24,-106.61,59.0,10.29
los llanos de aridane,20,ES,03/16/2020,63,28.66,-17.92,64.4,18.34
petropavlovsk-kamchatskiy,90,RU,03/16/2020,100,53.05,158.65,35.6,15.66
egvekinot,99,RU,03/16/2020,96,66.32,-179.17,11.19,3.47
lebu,0,CL,03/16/2020,76,-37.62,-73.65,56.28,8.46
axim,50,GH,03/16/2020,92,4.87,-2.24,78.22,4.56
nelson bay,40,AU,03/16/2020,60,-32.72,152.15,75.2,19.46
camacha,40,PT,03/16/2020,67,33.08,-16.33,60.8,14.99
innisfail,16,AU,03/16/2020,60,-17.53,146.03,82.53,7.99
eskilstuna,100,SE,03/16/2020,93,59.37,16.51,42.8,5.82
saskylakh,100,RU,03/16/2020,95,71.92,114.08,-12.32,20.71
kassala,88,SD,03/16/2020,50,15.45,36.4,65.53,6.53
vyskov,15,CZ,03/16/2020,64,49.28,17.0,37.0,12.75
perth,75,AU,03/16/2020,53,-31.93,115.83,78.8,11.41
stuttgart,55,DE,03/16/2020,80,48.78,9.18,41.0,1.12
pundaguitan,30,PH,03/16/2020,74,6.37,126.17,81.14,8.99
zambezi,100,ZM,03/16/2020,97,-13.54,23.1,65.35,2.89
atherton,90,GB,03/16/2020,81,53.52,-2.49,44.6,5.82
